vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,48678840,78
mail.ru,mail.ru/,Почта Mail.Ru,5939878,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2613353,80
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,2158782,86
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1977685,87
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1590902,78
mic_izvestia,iz.ru,Известия,1520334,86
kp,kp.ru,Комсомольская правда-Digital,1504333,74
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1456332,73
Lenta,lenta.ru,Lenta.Ru,1427679,81
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1331182,89
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1276435,85
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1193171,79
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1179256,87
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1167038,78
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,993294,91
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",917711,88
mail-my,my.mail.ru/,Мой Мир Mail.Ru,861065,75
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,819702,94
Pikabu,pikabu.ru,Сообщество Пикабу,783406,78
russian.rt.com,russian.rt.com/,RT на русском,749507,82
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,709464,81
life.ru,life.ru/,L!FE.ru,658411,88
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,658022,82
irecommend.ru,irecommend.ru/,IRecommend - отзывы и рекомендации от реальных людей,629439,75
farpost,farpost.ru,Сайты Владивостока,616672,94
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",601577,74
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,594779,70
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,593977,95
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,568394,79
dni.ru,dni.ru/,ДНИ ру - интернет-газета,539817,79
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,517249,80
ruprom,tiu.ru,Tiu.ru — Товары и услуги. Крупнейший в России портал товаров и услуг,510715,93
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",497961,68
starhit.ru,starhit.ru/,Starhit.ru - проект Андрея Малахова о звездах,495034,82
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,476609,91
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,473300,60
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,463143,79
russianfood.com,russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,430264,74
Sportbox,www.sportbox.ru,Sportbox.ru,421895,88
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,419299,88
CIAN,www.cian.ru/,ЦИАН ГРУПП - Лидер онлайн недвижимости России,408859,93
